REAPER,VST/VSTi INSTALLED EXTRACTOR
Version:,3.1 FERRETS
by:,Tormy Van Cool
Date:,2023-10-26 13:58:21

CHECK,N.,INSTR.,VST/VSTi/AU/CLAP NAME (Manufacturer),FILE (VSTs) - INST-NotINST (AUs) - CLAP (for Clap Plugins)
,249,,FabFilter Saturn 2 (FabFilter),FabFilter_Saturn_2.vst
,250,,Saturn 2 (FabFilter),FabFilter_Saturn_2.vst3
,251,,FabFilter Saturn (Mono) (FabFilter),FabFilter_Saturn__Mono_.vst
,252,,FabFilter Simplon (FabFilter),FabFilter_Simplon.vst
,253,,Simplon (FabFilter),FabFilter_Simplon.vst3
,254,,FabFilter Timeless 2 (FabFilter),FabFilter_Timeless_2.vst
,255,,FabFilter Timeless 2 (FabFilter),FabFilter_Timeless_2.vst3
,256,,FabFilter Timeless 2 (SC) (FabFilter),FabFilter_Timeless_2__SC_.vst
,257,,FabFilter Timeless 3 (FabFilter),FabFilter_Timeless_3.vst
,258,,Timeless 3 (FabFilter),FabFilter_Timeless_3.vst3
,259,Instr.,FabFilter Twin 2 (FabFilter)!!!VSTi,FabFilter_Twin_2.vst
,260,Instr.,Twin 2 (FabFilter)!!!VSTi,FabFilter_Twin_2.vst3
,261,,FabFilter Volcano 2 (FabFilter),FabFilter_Volcano_2.vst
,262,,Volcano 2 (FabFilter),FabFilter_Volcano_2.vst3
,263,,FabFilter Volcano 2 (Mono) (FabFilter),FabFilter_Volcano_2__Mono_.vst
,264,,FabFilter Volcano 2 (SC) (FabFilter),FabFilter_Volcano_2__SC_.vst
,265,,FabFilter Volcano 2 (Mono SC) (FabFilter),FabFilter_Volcano_2__SC_Mono_.vst
,266,,FB360 Control (Two Big Ears) (8ch),FB360_Control.vst
,267,,FB360 Control (Two Big Ears) (8ch),FB360_Control.vst3
,268,,FB360 Control (ambiX) (Two Big Ears) (9ch),FB360_Control_ambiX.vst3
,269,,FB360 Converter (ambiX) (Two Big Ears) (9ch),FB360_Converter_ambiX.vst3
,270,,FB360 Mix Loudness (ambiX) (Two Big Ears) (9ch),FB360_Mix_Loudness_ambiX.vst3
,271,,FB360 Spatialiser (Two Big Ears) (7->8ch),FB360_Spatialiser.vst
,272,,FB360 Spatialiser (Two Big Ears) (7->8ch),FB360_Spatialiser.vst3
,273,,FB360 Spatialiser (ambiX) (Two Big Ears) (9ch),FB360_Spatialiser_ambiX.vst3
,274,,FB360 Stereo Loudness (ambiX) (Two Big Ears),FB360_Stereo_Loudness_ambiX.vst3
,275,,FdnReverb (IEM) (64ch),FdnReverb.vst
,276,,Five2B (x86) (Ambisonic Studio B2X) (6ch),Five2B.vst
,277,,Five2B2 (x86) (Ambisonic Studio B2X) (9ch),Five2B2.vst
,278,,Five2B5 (x86) (Ambisonic Studio B2X) (12ch),Five2B5.vst
,279,Instr.,FM8 (Native Instruments GmbH)!!!VSTi,FM8.vst
,280,,FM8 (Native Instruments GmbH),FM8_FX.vst
,281,,FormantFilter (OliLarkin),FormantFilter.vst
,282,,Fresh Air (Slate Digital),Fresh_Air.vst
,283,,Ghz Midside Matrix 3 (Goodhertz),Ghz_Midside_Matrix_3.vst
,284,,Ghz Midside Matrix 3 (Goodhertz),Ghz_Midside_Matrix_3.vst3
,285,,GRM BandPass (Ina-GRM) (mono),GRM_BandPass.vst
,286,,GRM BandPass Stereo (Ina-GRM),GRM_BandPass_Stereo.vst
,287,,GRM Comb (Ina-GRM) (mono),GRM_Comb.vst
,288,,GRM Comb Stereo (Ina-GRM),GRM_Comb_Stereo.vst
,289,,GRM Contrast (Ina-GRM) (mono),GRM_Contrast.vst
,290,,GRM Contrast Stereo (Ina-GRM),GRM_Contrast_Stereo.vst
,291,,GRM Delays (Ina-GRM) (1->8ch),GRM_Delays.vst
,292,,GRM Delays Stereo (Ina-GRM) (2->8ch),GRM_Delays_Stereo.vst
,293,,GRM Doppler (Ina-GRM) (1->8ch),GRM_Doppler.vst
,294,,GRM Doppler Stereo (Ina-GRM) (2->8ch),GRM_Doppler_Stereo.vst
,295,,GRM Equalize (Ina-GRM) (mono),GRM_Equalize.vst
,296,,GRM Equalize Stereo (Ina-GRM),GRM_Equalize_Stereo.vst
,297,,GRM Evolution (Ina-GRM),GRM_Evolution.vst
,298,,GRM Freeze (Ina-GRM) (1->8ch),GRM_Freeze.vst
,299,,GRM Freeze Stereo (Ina-GRM) (2->8ch),GRM_Freeze_Stereo.vst
